,DATE,TMAX,TMIN
8333,2020-01-01,43.0,36.0
8334,2020-01-02,49.0,34.0
8335,2020-01-03,52.0,44.0
8336,2020-01-04,48.0,40.0
8337,2020-01-05,41.0,32.0
8338,2020-01-06,41.0,27.0
8339,2020-01-07,42.0,33.0
8340,2020-01-08,45.0,29.0
8341,2020-01-09,33.0,22.0
8342,2020-01-10,53.0,29.0
8343,2020-01-11,70.0,49.0
8344,2020-01-12,74.0,40.0
8345,2020-01-13,43.0,36.0
8346,2020-01-14,42.0,37.0
8347,2020-01-15,52.0,39.0
8348,2020-01-16,47.0,30.0
8349,2020-01-17,30.0,16.0
8350,2020-01-18,33.0,14.0
8351,2020-01-19,45.0,24.0
8352,2020-01-20,30.0,19.0
8353,2020-01-21,28.0,18.0
8354,2020-01-22,39.0,20.0
8355,2020-01-23,50.0,26.0
8356,2020-01-24,48.0,34.0
8357,2020-01-25,50.0,40.0
8358,2020-01-26,51.0,40.0
8359,2020-01-27,48.0,39.0
8360,2020-01-28,42.0,36.0
8361,2020-01-29,43.0,29.0
8362,2020-01-30,33.0,22.0
8363,2020-01-31,47.0,29.0
8364,2020-02-01,41.0,34.0
8365,2020-02-02,44.0,36.0
8366,2020-02-03,50.0,35.0
8367,2020-02-04,47.0,35.0
8368,2020-02-05,43.0,33.0
8369,2020-02-06,41.0,34.0
8370,2020-02-07,56.0,30.0
8371,2020-02-08,37.0,25.0
8372,2020-02-09,38.0,20.0
8373,2020-02-10,47.0,38.0
8374,2020-02-11,45.0,40.0
8375,2020-02-12,45.0,37.0
8376,2020-02-13,41.0,35.0
8377,2020-02-14,40.0,15.0
8378,2020-02-15,31.0,12.0
8379,2020-02-16,46.0,29.0
8380,2020-02-17,49.0,31.0
8381,2020-02-18,42.0,31.0
8382,2020-02-19,46.0,32.0
8383,2020-02-20,37.0,24.0
8384,2020-02-21,33.0,17.0
8385,2020-02-22,49.0,29.0
8386,2020-02-23,58.0,34.0
8387,2020-02-24,64.0,35.0
8388,2020-02-25,53.0,43.0
8389,2020-02-26,48.0,44.0
8390,2020-02-27,55.0,33.0
8391,2020-02-28,38.0,28.0
8392,2020-02-29,35.0,22.0
8393,2020-03-01,33.0,19.0
8394,2020-03-02,52.0,23.0
8395,2020-03-03,59.0,46.0
8396,2020-03-04,50.0,41.0
8397,2020-03-05,51.0,37.0
8398,2020-03-06,44.0,32.0
8399,2020-03-07,45.0,29.0
8400,2020-03-08,53.0,31.0
8401,2020-03-09,72.0,42.0
8402,2020-03-10,66.0,40.0
8403,2020-03-11,59.0,37.0
8404,2020-03-12,43.0,34.0
8405,2020-03-13,62.0,40.0
8406,2020-03-14,53.0,38.0
8407,2020-03-15,43.0,30.0
8408,2020-03-16,35.0,24.0
8409,2020-03-17,45.0,31.0
8410,2020-03-18,51.0,37.0
8411,2020-03-19,42.0,39.0
8412,2020-03-20,68.0,38.0
8413,2020-03-21,57.0,31.0
8414,2020-03-22,33.0,25.0
8415,2020-03-23,41.0,28.0
8416,2020-03-24,49.0,34.0
8417,2020-03-25,43.0,37.0
8418,2020-03-26,46.0,32.0
8419,2020-03-27,61.0,43.0
8420,2020-03-28,48.0,36.0
8421,2020-03-29,43.0,39.0
8422,2020-03-30,43.0,37.0
8423,2020-03-31,40.0,33.0
8424,2020-04-01,43.0,31.0
8425,2020-04-02,47.0,39.0
8426,2020-04-03,45.0,41.0
8427,2020-04-04,44.0,39.0
8428,2020-04-05,54.0,39.0
8429,2020-04-06,62.0,44.0
8430,2020-04-07,62.0,46.0
8431,2020-04-08,48.0,42.0
8432,2020-04-09,48.0,41.0
8433,2020-04-10,48.0,38.0
8434,2020-04-11,52.0,37.0
8435,2020-04-12,60.0,35.0
8436,2020-04-13,60.0,51.0
8437,2020-04-14,58.0,45.0
8438,2020-04-15,53.0,38.0
8439,2020-04-16,47.0,34.0
8440,2020-04-17,49.0,34.0
8441,2020-04-18,41.0,32.0
8442,2020-04-19,61.0,37.0
8443,2020-04-20,51.0,38.0
8444,2020-04-21,54.0,34.0
8445,2020-04-22,44.0,34.0
8446,2020-04-23,55.0,34.0
8447,2020-04-24,45.0,39.0
8448,2020-04-25,53.0,37.0
8449,2020-04-26,47.0,41.0
8450,2020-04-27,42.0,37.0
