,DATE,TMAX,TMIN
3759,2020-01-01,39.0,30.0
3760,2020-01-02,36.0,26.0
3761,2020-01-03,48.0,34.0
3762,2020-01-04,34.0,25.0
3763,2020-01-05,30.0,26.0
3764,2020-01-06,36.0,28.0
3765,2020-01-07,38.0,32.0
3766,2020-01-08,33.0,22.0
3767,2020-01-09,24.0,20.0
3768,2020-01-10,31.0,22.0
3769,2020-01-11,31.0,25.0
3770,2020-01-12,29.0,18.0
3771,2020-01-13,24.0,17.0
3772,2020-01-14,21.0,15.0
3773,2020-01-15,19.0,13.0
3774,2020-01-16,26.0,19.0
3775,2020-01-17,26.0,19.0
3776,2020-01-18,31.0,23.0
3777,2020-01-19,34.0,29.0
3778,2020-01-20,33.0,30.0
3779,2020-01-21,34.0,29.0
3780,2020-01-22,34.0,30.0
3781,2020-01-23,40.0,34.0
3782,2020-01-24,38.0,33.0
3783,2020-01-25,37.0,32.0
3784,2020-01-26,34.0,31.0
3785,2020-01-27,33.0,29.0
3786,2020-01-28,34.0,30.0
3787,2020-01-29,34.0,32.0
3788,2020-01-30,41.0,29.0
3789,2020-01-31,48.0,38.0
3790,2020-02-01,49.0,23.0
3791,2020-02-02,26.0,20.0
3792,2020-02-03,24.0,20.0
3793,2020-02-04,32.0,19.0
3794,2020-02-05,37.0,32.0
3795,2020-02-06,37.0,33.0
3796,2020-02-07,38.0,29.0
3797,2020-02-08,31.0,28.0
3798,2020-02-09,29.0,24.0
3799,2020-02-10,34.0,26.0
3800,2020-02-11,32.0,28.0
3801,2020-02-12,34.0,30.0
3802,2020-02-13,34.0,26.0
3803,2020-02-14,29.0,27.0
3804,2020-02-15,33.0,27.0
3805,2020-02-16,28.0,25.0
3806,2020-02-17,29.0,22.0
3807,2020-02-18,29.0,20.0
3808,2020-02-19,30.0,22.0
3809,2020-02-20,36.0,23.0
3810,2020-02-21,40.0,31.0
3811,2020-02-22,34.0,28.0
3812,2020-02-23,34.0,26.0
3813,2020-02-24,26.0,23.0
3814,2020-02-25,36.0,24.0
3815,2020-02-26,34.0,31.0
3816,2020-02-27,42.0,30.0
3817,2020-02-28,47.0,27.0
3818,2020-02-29,30.0,23.0
3819,2020-03-01,29.0,22.0
3820,2020-03-02,36.0,25.0
3821,2020-03-03,38.0,32.0
3822,2020-03-04,33.0,26.0
3823,2020-03-05,43.0,31.0
3824,2020-03-06,33.0,30.0
3825,2020-03-07,31.0,25.0
3826,2020-03-08,31.0,22.0
3827,2020-03-09,32.0,23.0
3828,2020-03-10,35.0,28.0
3829,2020-03-11,33.0,26.0
3830,2020-03-12,31.0,24.0
3831,2020-03-13,28.0,22.0
3832,2020-03-14,22.0,16.0
3833,2020-03-15,29.0,15.0
3834,2020-03-16,46.0,26.0
3835,2020-03-17,45.0,36.0
3836,2020-03-18,43.0,33.0
3837,2020-03-19,46.0,35.0
3838,2020-03-20,45.0,35.0
3839,2020-03-21,43.0,33.0
3840,2020-03-22,47.0,32.0
3841,2020-03-23,33.0,28.0
3842,2020-03-24,34.0,26.0
3843,2020-03-25,32.0,26.0
3844,2020-03-26,30.0,25.0
3845,2020-03-27,34.0,28.0
3846,2020-03-28,37.0,32.0
3847,2020-03-29,37.0,31.0
3848,2020-03-30,33.0,27.0
3849,2020-03-31,31.0,26.0
3850,2020-04-01,33.0,25.0
3851,2020-04-02,31.0,23.0
3852,2020-04-03,26.0,23.0
3853,2020-04-04,31.0,21.0
3854,2020-04-05,37.0,27.0
3855,2020-04-06,39.0,32.0
3856,2020-04-07,42.0,28.0
3857,2020-04-08,54.0,36.0
3858,2020-04-09,55.0,43.0
3859,2020-04-10,50.0,38.0
3860,2020-04-11,38.0,31.0
3861,2020-04-12,41.0,31.0
3862,2020-04-13,45.0,32.0
3863,2020-04-14,48.0,35.0
