,tracking_start,tracking_end,quality,regularity,day_steps,alarm,air_pressure,movements_per_hr,time_total,time_asleep,time_presleep
0,2019-12-27 02:13:39,2019-12-27 10:07:15,0.81,0.0,668,Normal,101.1,70.5,28415.8,23964.0,189.4
1,2019-12-28 01:44:34,2019-12-28 10:24:47,1.0,0.0,578,Normal,101.7,62.8,31212.3,24241.6,1040.4
2,2019-12-29 01:55:44,2019-12-29 10:05:28,0.72,0.96,701,No alarm,101.2,77.4,29383.7,22233.7,195.9
3,2019-12-30 02:28:36,2019-12-30 12:09:22,0.75,0.87,1621,No alarm,101.6,96.5,34846.5,28458.0,232.3
4,2019-12-31 02:15:57,2019-12-31 10:18:39,0.69,0.86,732,No alarm,101.6,105.5,28962.1,22880.0,193.1
5,2020-01-01 01:44:29,2020-01-01 09:22:04,0.65,0.83,569,Normal,99.7,114.9,27454.2,23793.6,183.0
6,2020-01-02 02:27:44,2020-01-02 09:16:32,0.79,0.88,709,Normal,101.0,63.2,24527.7,18068.8,3270.4
7,2020-01-03 01:43:13,2020-01-03 09:30:21,0.75,0.91,362,Normal,100.7,96.0,28028.2,23450.2,4577.9
8,2020-01-04 01:49:03,2020-01-04 09:06:34,0.84,0.94,939,Normal,100.2,63.6,26251.2,20038.4,1225.1
9,2020-01-05 01:56:04,2020-01-05 09:27:12,0.76,0.95,613,Normal,102.0,87.1,27067.5,22826.9,1263.1
10,2020-01-06 00:53:17,2020-01-06 10:12:12,0.86,0.92,1044,Normal,102.1,95.0,33534.3,27721.6,223.6
11,2020-01-07 02:42:35,2020-01-07 10:12:15,0.8,0.89,2583,Normal,101.0,78.1,26979.4,24011.7,179.9
12,2020-01-08 02:48:00,2020-01-08 09:51:29,0.81,0.89,2938,Normal,99.9,66.9,25408.9,22444.5,169.4
13,2020-01-09 02:14:18,2020-01-09 09:51:28,0.85,0.92,1131,Normal,100.8,69.8,27430.0,22675.4,182.9
14,2020-01-10 02:59:03,2020-01-10 09:54:44,0.77,0.95,1796,Normal,101.6,70.2,24940.6,21199.5,166.3
15,2020-01-11 02:32:36,2020-01-11 10:07:11,0.82,0.94,2471,Normal,99.4,73.7,27274.7,23456.2,181.8
16,2020-01-12 02:34:17,2020-01-12 09:51:19,0.84,0.95,573,Normal,100.3,64.3,26222.6,23250.7,174.8
17,2020-01-13 02:43:31,2020-01-13 09:48:41,0.8,0.97,669,Normal,100.0,65.1,25510.3,21003.5,2806.1
18,2020-01-14 02:07:09,2020-01-14 09:44:59,0.86,0.97,756,Normal,100.3,64.9,27470.2,21518.3,183.1
19,2020-01-15 02:03:23,2020-01-15 09:43:25,0.86,0.97,527,Normal,100.8,66.2,27601.5,21989.2,1288.1
20,2020-01-16 01:03:20,2020-01-16 10:07:52,0.79,0.94,1789,Normal,99.0,97.9,32671.7,28642.2,2287.0
21,2020-01-17 02:38:28,2020-01-17 09:20:35,0.78,0.89,2913,Normal,100.5,59.9,24127.0,17130.2,884.7
22,2020-01-18 02:08:14,2020-01-18 09:17:16,0.84,0.88,2627,Normal,101.2,57.0,25742.3,19649.9,171.6
23,2020-01-19 02:57:29,2020-01-19 09:42:14,0.74,0.88,633,Normal,101.8,67.2,24284.9,21694.5,161.9
24,2020-01-20 02:42:09,2020-01-20 09:30:25,0.68,0.94,333,Normal,100.7,80.8,24495.6,23025.8,163.3
25,2020-01-21 01:54:44,2020-01-21 09:42:12,0.79,0.93,250,Normal,99.8,78.1,28048.5,22064.8,1402.4
26,2020-01-22 02:08:04,2020-01-22 09:19:47,0.76,0.94,2995,Normal,100.6,73.6,25902.7,18822.6,172.7
27,2020-01-23 02:08:45,2020-01-23 09:42:19,0.83,0.95,2097,Normal,100.8,67.2,27213.7,21408.1,2721.4
28,2020-01-23 20:42:59,2020-01-23 23:44:28,0.27,0.43,3614,Normal,100.5,92.6,10888.2,6968.4,72.6
29,2020-01-24 02:31:02,2020-01-24 09:27:39,0.5,0.96,3754,Normal,100.4,119.4,24997.1,18747.8,166.6
30,2020-01-25 02:45:04,2020-01-25 09:42:11,0.64,0.96,3349,Normal,100.8,93.0,25027.1,22023.8,166.8
31,2020-01-26 01:09:24,2020-01-26 09:26:31,0.97,0.92,223,Normal,100.3,58.3,29826.9,27142.5,198.8
32,2020-01-27 01:39:15,2020-01-27 09:26:47,0.83,0.92,468,Normal,101.1,73.1,28052.0,21600.0,187.0
33,2020-01-28 01:39:30,2020-01-28 09:12:56,0.84,0.93,250,Normal,100.5,65.8,27206.6,21493.3,2267.2
34,2020-01-29 02:05:48,2020-01-29 09:42:10,0.87,0.95,2520,Normal,101.6,62.2,27382.2,22179.5,182.5
35,2020-01-31 02:15:48,2020-01-31 09:42:14,0.92,0.95,1724,Normal,101.2,47.3,26786.6,23215.1,1696.5
36,2020-02-02 01:31:54,2020-02-02 09:28:09,0.82,0.92,581,Normal,101.8,74.8,28575.9,22098.7,2952.8
37,2020-02-03 01:23:26,2020-02-03 02:02:39,0.08,0.26,411,Normal,101.6,0.0,2352.9,1356.9,15.7
38,2020-02-03 02:03:00,2020-02-03 09:20:38,0.75,0.93,411,Normal,101.6,75.4,26257.1,21793.4,2188.1
39,2020-02-04 01:41:36,2020-02-04 09:24:10,0.91,0.96,2382,Normal,102.4,55.9,27754.1,23128.4,185.0
40,2020-02-05 01:51:56,2020-02-05 09:42:21,0.9,0.96,3825,Normal,101.3,59.2,28224.9,24932.0,188.2
41,2020-02-06 03:00:25,2020-02-06 09:42:11,0.65,0.94,1383,Normal,101.0,82.5,24106.4,19606.6,482.1
42,2020-02-07 02:23:30,2020-02-07 09:26:29,0.78,0.93,4390,Normal,100.9,64.0,25378.7,20303.0,2537.9
43,2020-02-08 02:12:46,2020-02-08 09:15:32,0.87,0.93,3150,Normal,100.0,47.4,25365.1,20968.5,1014.6
44,2020-02-09 02:35:23,2020-02-09 09:19:16,0.82,0.95,429,Normal,102.4,48.4,24233.4,17286.5,1211.7
45,2020-02-10 02:22:11,2020-02-10 09:43:20,0.89,0.96,774,Normal,102.4,48.7,26469.7,22763.9,2117.6
46,2020-02-11 02:31:42,2020-02-11 09:29:54,0.78,0.96,2857,Normal,102.3,60.2,25091.4,20825.9,501.8
47,2020-02-12 02:36:01,2020-02-12 09:28:03,0.77,0.97,3275,Normal,101.8,59.2,24722.4,21920.5,494.4
48,2020-02-13 02:37:46,2020-02-13 09:42:13,0.8,0.98,4266,Normal,101.2,58.1,25466.8,23089.9,509.3
49,2020-02-14 02:10:13,2020-02-14 09:21:28,0.71,0.97,3257,Normal,100.7,78.6,25875.4,23374.1,517.5
50,2020-02-16 01:26:22,2020-02-16 09:12:13,0.91,0.93,279,Normal,101.0,53.2,27950.7,23012.7,4938.0
51,2020-02-17 01:25:57,2020-02-17 09:00:24,0.97,0.95,566,Normal,101.7,36.3,27267.0,23449.7,1181.6
52,2020-02-24 01:39:20,2020-02-24 09:00:39,0.8,0.0,686,Normal,101.9,63.0,26478.3,23300.9,2030.0
53,2020-02-26 01:46:25,2020-02-26 09:00:50,0.93,0.99,4444,Normal,102.4,29.6,26064.9,18766.7,2780.3
54,2020-02-27 01:23:29,2020-02-27 09:00:41,0.98,0.98,2271,Normal,102.6,22.5,27431.9,25694.5,548.6
