Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-12-27 02:13:39;2019-12-27 10:07:15;81%;0%;;0;668;Normal;101.1;;70.5;28415.8;23964.0;189.4;2019-12-27 07:00:00;2019-12-27 07:30:00;true;0.0;32.0;No weather;
2019-12-28 01:44:34;2019-12-28 10:24:47;100%;0%;;0;578;Normal;101.7;;62.8;31212.3;24241.6;1040.4;2019-12-28 07:30:00;2019-12-28 08:00:00;true;0.0;32.0;No weather;
2019-12-29 01:55:44;2019-12-29 10:05:28;72%;96%;;0;701;No alarm;101.2;;77.4;29383.7;22233.7;195.9;;;true;0.0;32.0;No weather;
2019-12-30 02:28:36;2019-12-30 12:09:22;75%;87%;;0;1621;No alarm;101.6;;96.5;34846.5;28458.0;232.3;;;true;0.0;32.0;No weather;
2019-12-31 02:15:57;2019-12-31 10:18:39;69%;86%;;0;732;No alarm;101.6;;105.5;28962.1;22880.0;193.1;;;true;0.0;32.0;No weather;
2020-01-01 01:44:29;2020-01-01 09:22:04;65%;83%;;0;569;Normal;99.7;;114.9;27454.2;23793.6;183.0;2020-01-01 06:00:00;2020-01-01 06:30:00;true;0.0;32.0;No weather;
2020-01-02 02:27:44;2020-01-02 09:16:32;79%;88%;;0;709;Normal;101.0;;63.2;24527.7;18068.8;3270.4;2020-01-02 07:00:00;2020-01-02 07:30:00;true;0.0;32.0;No weather;
2020-01-03 01:43:13;2020-01-03 09:30:21;75%;91%;;0;362;Normal;100.7;;96.0;28028.2;23450.2;4577.9;2020-01-03 06:00:00;2020-01-03 06:30:00;true;0.0;32.0;No weather;
2020-01-04 01:49:03;2020-01-04 09:06:34;84%;94%;;0;939;Normal;100.2;;63.6;26251.2;20038.4;1225.1;2020-01-04 06:00:00;2020-01-04 06:30:00;true;0.0;32.0;No weather;
2020-01-05 01:56:04;2020-01-05 09:27:12;76%;95%;;0;613;Normal;102.0;;87.1;27067.5;22826.9;1263.1;2020-01-05 06:00:00;2020-01-05 06:30:00;true;0.0;32.0;No weather;
2020-01-06 00:53:17;2020-01-06 10:12:12;86%;92%;;0;1044;Normal;102.1;;95.0;33534.3;27721.6;223.6;2020-01-06 06:45:00;2020-01-06 07:15:00;true;0.0;32.0;No weather;
2020-01-07 02:42:35;2020-01-07 10:12:15;80%;89%;;0;2583;Normal;101.0;;78.1;26979.4;24011.7;179.9;2020-01-07 06:45:00;2020-01-07 07:15:00;true;0.0;32.0;No weather;
2020-01-08 02:48:00;2020-01-08 09:51:29;81%;89%;;0;2938;Normal;99.9;;66.9;25408.9;22444.5;169.4;2020-01-08 06:40:00;2020-01-08 07:10:00;true;0.0;32.0;No weather;
2020-01-09 02:14:18;2020-01-09 09:51:28;85%;92%;;0;1131;Normal;100.8;;69.8;27430.0;22675.4;182.9;2020-01-09 06:40:00;2020-01-09 07:10:00;true;0.0;32.0;No weather;
2020-01-10 02:59:03;2020-01-10 09:54:44;77%;95%;;0;1796;Normal;101.6;;70.2;24940.6;21199.5;166.3;2020-01-10 06:40:00;2020-01-10 07:10:00;true;0.0;32.0;No weather;
2020-01-11 02:32:36;2020-01-11 10:07:11;82%;94%;;0;2471;Normal;99.4;;73.7;27274.7;23456.2;181.8;2020-01-11 06:40:00;2020-01-11 07:10:00;true;0.0;32.0;No weather;
2020-01-12 02:34:17;2020-01-12 09:51:19;84%;95%;;0;573;Normal;100.3;;64.3;26222.6;23250.7;174.8;2020-01-12 06:40:00;2020-01-12 07:10:00;true;0.0;32.0;No weather;
2020-01-13 02:43:31;2020-01-13 09:48:41;80%;97%;;0;669;Normal;100.0;;65.1;25510.3;21003.5;2806.1;2020-01-13 06:40:00;2020-01-13 07:10:00;true;0.0;32.0;No weather;
2020-01-14 02:07:09;2020-01-14 09:44:59;86%;97%;;0;756;Normal;100.3;;64.9;27470.2;21518.3;183.1;2020-01-14 06:40:00;2020-01-14 07:10:00;true;0.0;32.0;No weather;
2020-01-15 02:03:23;2020-01-15 09:43:25;86%;97%;;0;527;Normal;100.8;;66.2;27601.5;21989.2;1288.1;2020-01-15 06:40:00;2020-01-15 07:10:00;true;0.0;32.0;No weather;
2020-01-16 01:03:20;2020-01-16 10:07:52;79%;94%;;0;1789;Normal;99.0;;97.9;32671.7;28642.2;2287.0;2020-01-16 06:40:00;2020-01-16 07:10:00;true;0.0;32.0;No weather;
2020-01-17 02:38:28;2020-01-17 09:20:35;78%;89%;;0;2913;Normal;100.5;;59.9;24127.0;17130.2;884.7;2020-01-17 06:15:00;2020-01-17 06:45:00;true;0.0;32.0;No weather;
2020-01-18 02:08:14;2020-01-18 09:17:16;84%;88%;;0;2627;Normal;101.2;;57.0;25742.3;19649.9;171.6;2020-01-18 06:15:00;2020-01-18 06:45:00;true;0.0;32.0;No weather;
